"Dataset_ID","slice","Lat","Lon","prec"
7,4000,47,-80.116667,732.925800933838
7,4500,47,-80.116667,733.392467600505
7,5500,47,-80.116667,737.959134267171
7,6000,47,-80.116667,714.859134267171
7,6500,47,-80.116667,750.492467600504
7,5000,47,-80.116667,737.825800933838
7,7500,47,-80.116667,731.292467600505
7,500,47,-80.116667,877.375800933838
7,1000,47,-80.116667,806.392467600504
7,1500,47,-80.116667,758.825800933838
7,2000,47,-80.116667,808.275800933838
7,2500,47,-80.116667,814.659134267171
7,3000,47,-80.116667,776.575800933838
7,3500,47,-80.116667,790.492467600504
7,7000,47,-80.116667,740.759134267171
7,0,47,-80.116667,747.825800933838
8,4500,33.956389,-119.976667,364.780876753065
8,5000,33.956389,-119.976667,329.547543419732
8,3500,33.956389,-119.976667,376.280876753065
8,4000,33.956389,-119.976667,371.314210086399
8,0,33.956389,-119.976667,382.097543419732
8,500,33.956389,-119.976667,426.760043419732
8,1000,33.956389,-119.976667,373.347543419732
8,1500,33.956389,-119.976667,429.147543419732
8,2000,33.956389,-119.976667,417.247543419732
8,2500,33.956389,-119.976667,380.897543419732
8,3000,33.956389,-119.976667,424.380876753065
9,0,43.305556,41.333333,1253.20167083122
9,500,43.305556,41.333333,1258.43500416456
9,1000,43.305556,41.333333,1236.83167083122
9,1500,43.305556,41.333333,1291.70167083122
9,2000,43.305556,41.333333,1263.90167083122
9,2500,43.305556,41.333333,1260.10167083122
9,3000,43.305556,41.333333,1232.17667083122
9,3500,43.305556,41.333333,1178.75167083122
9,4500,43.305556,41.333333,1143.25167083122
12,500,55.934475,13.42774,684.556775620404
12,1000,55.934475,13.42774,642.567886731516
12,1500,55.934475,13.42774,668.019275620404
12,0,55.934475,13.42774,691.956775620404
12,6500,55.934475,13.42774,722.081775620404
12,7000,55.934475,13.42774,709.696775620404
12,7500,55.934475,13.42774,576.623442287071
12,8000,55.934475,13.42774,469.046775620405
12,8500,55.934475,13.42774,576.413918477547
12,9000,55.934475,13.42774,602.720411984041
12,9500,55.934475,13.42774,587.493139256768
12,10000,55.934475,13.42774,494.226775620405
12,3500,55.934475,13.42774,688.781775620404
12,4000,55.934475,13.42774,666.296775620404
12,4500,55.934475,13.42774,740.006775620404
12,5000,55.934475,13.42774,816.456775620405
12,5500,55.934475,13.42774,727.136775620404
12,6000,55.934475,13.42774,739.056775620404
12,2000,55.934475,13.42774,701.167886731516
12,2500,55.934475,13.42774,666.490108953738
12,3000,55.934475,13.42774,669.906775620404
16,500,53.693998,8.729075,781.636834247296
